 Project Type,Category,Sub Category,Model,Serial No.,UDISE Code
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318924,18050402804
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318783,18050400711
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318829,18050411903
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319246,18240401901
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318943,18050610705
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318552,18050606402
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318717,18050210403
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318791,18050210304
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318857,18050207805
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318965,18050514403
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318562,18050510404
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318848,18050104925
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319293,18050112704
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318635,18050304001
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318751,18050306106
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318658,18280603602
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318573,18280603203
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318890,18280527901
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318909,18280733902
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318738,18040416108
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318716,18040306801
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318639,18040305602
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319271,18210106902
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318548,18210111601
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318822,18210111805
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318614,18210132902
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318939,18210215505
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318932,18210312402
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319297,18210410006
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318651,18210410605
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318715,18210614403
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319253,18210709001
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318963,18210725701
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318621,18290111107
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318810,18080315003
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319270,18080306204
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318893,18080303304
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318830,18080213504
