 Project Type,Category,Sub Category,Model,Serial No.,UDISE Code
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503000,18050409004
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503033,18050402504
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,31241390338399,18050201708
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503607,18050417504
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503755,18050411813
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306502702,18050407605
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305505099,18050204205
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306502707,18050400108
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503576,18050402204
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503684,18050416802
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503568,18050403908
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,8312230650362,18050400509
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,61390022831092,18050408205
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,73369625505982,18050416602
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503575,18050200708
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,42652778465573,18050713703
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503618,18050406710
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503293,18050405303
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503224,18050414502
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503208,18050409702
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503181,18050418306
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503608,18050412105
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305504048,18050702310
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,38702034009186,18050408404
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,75510376702153,18050402703
